title,place,start,end,genre,realm,url,thumbnail,source,period_raw,trend_ratio,popularity,crawled_at
"2026 카즈미 타테이시 트리오 내한공연-크리스마스, 재즈를 만나다-(서울)",강동아트센터 대극장 한강,2026-12-24,2026-12-24,콘서트,강동구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158770&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=401a984b98ff4af8a57122219ee0d591&thumb=Y,서울시 문화행사,,0.006661,30,2026-08-23 01:14:23
"2026 카즈미 타테이시 트리오 내한공연-지브리, 재즈를 만나다-(서울)",영등포아트홀,2026-12-22,2026-12-22,콘서트,영등포구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158691&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ae89ba10b5c64459b3e2fe3942048f84&thumb=Y,서울시 문화행사,,0.072056,53,2026-08-23 01:14:23
[마포문화재단] 체홉 4대 장막 낭독극 [공놀이클럽의 사계절 체홉: 갈매기],마포아트센터 아트홀맥,2026-11-29,2026-11-29,연극,마포구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158955&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=596148e92e5f4dd3870b298b700b9c2e&thumb=Y,서울시 문화행사,,0.055695,51,2026-08-23 01:14:23
파인캐릭터 2026 (FineCharacter 2026),동대문디자인플라자(DDP) 쇼룸 1층 (서울 중구 을지로 281),2026-11-27,2026-11-29,전시/미술,중구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158731&menuNo=200009,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f941d1c83dad4804b0f02fc3817af386&thumb=Y,서울시 문화행사,,,,2026-08-23 01:14:23
[마포문화재단] 제11회 M 클래식 축제 [뮤라벨 콘서트],마포아트센터 플레이맥,2026-10-28,2026-10-28,클래식,마포구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158566&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d0069ec8a15440cf83bea9a06775367a&thumb=Y,서울시 문화행사,,0.001089,12,2026-08-23 01:14:23
[꿈의숲아트센터] 꿈의숲 마티네 콘서트 [벨에포크 아트&뮤직] 시리즈3,북서울꿈의숲 상상톡톡미술관,2026-10-28,2026-10-28,콘서트,강북구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158447&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=75a26c72552b4b38acca7be54e15cf8b&thumb=Y,서울시 문화행사,,0.009563,33,2026-08-23 01:14:23
[마포문화재단] 제11회 M 클래식 축제 [전수진의 피아니즘],마포아트센터 플레이맥,2026-10-27,2026-10-27,클래식,마포구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158565&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=94a30babbe564eab9a4eee51586ffc3a&thumb=Y,서울시 문화행사,,0.001089,12,2026-08-23 01:14:23
"[서초문화재단] 2026 서울어텀페스타 선정작 [숨비소리, 해녀들의 노래]",서리풀아트스튜디오,2026-10-26,2026-11-09,연극,서초구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=159097&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=615df6acb7054be9add1d6af1dc8cedc&thumb=Y,서울시 문화행사,,0.000872,10,2026-08-23 01:14:23
[마포문화재단] 제11회 M 클래식 축제 [김도현x이수빈 듀오 리사이틀],마포아트센터 아트홀맥,2026-10-22,2026-10-22,클래식,마포구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158564&menuNo=200008,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=af0e69c139674d2c889e2fed188c3170&thumb=Y,서울시 문화행사,,0.055695,51,2026-08-23 01:14:23
"[종로문화재단] 2026 윤동주문학제 [동주의 한글, 별이 되다]","종로구, 마로니에공원, 윤동주문학관 일대",2026-10-17,2026-10-18,축제-문화/예술,종로구,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=159107&menuNo=200010,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eebfc6876f884660800706d7535d16aa&thumb=Y,서울시 문화행사,,,,2026-08-23 01:14:23
