id,region_province,city_district,hashtag,place_name,category,post_count,like_avg,trending_score,is_trending,ai_tags,sample_post_summary,crawled_at
1,강원특별자치도,평창군,#수목원데이트,평창군 드림 피크닉존 #1,자연/힐링,"483,261개","3,311개",94.2,[TRENDING] 인스타 핫플,family:0.8;couple:0.9;single:0.9;#수목원데이트;평창군;인스타1만DB,"강원특별자치도 평창군에서 인스타 소셜 반응이 뜨거운 식물원수목원 명소! 게시물 483,261개 달성",2026-07-26 17:01:20
2,부산광역시,사상구,#야경스타그램,사상구 힐링 디저트카페 #2,야경/전망,"247,231개","2,026개",97.1,[HOT] 급상승 핫플,family:0.8;couple:0.9;single:0.8;#야경스타그램;사상구;인스타1만DB,"부산광역시 사상구에서 인스타 소셜 반응이 뜨거운 감성야경명소 명소! 게시물 247,231개 달성",2026-07-26 17:01:20
3,광주광역시,서구,#바다여행,서구 에스 글램핑장 #3,자연/해변,"762,920개","4,147개",90.6,[TRENDING] 인스타 핫플,family:0.9;couple:0.9;single:0.8;#바다여행;서구;인스타1만DB,"광주광역시 서구에서 인스타 소셜 반응이 뜨거운 바다해변산책 명소! 게시물 762,920개 달성",2026-07-26 17:01:20
4,인천광역시,강화군,#동물체험,강화군 블루 야경전망대 #4,동물/아동,"974,337개","1,427개",98.0,[HOT] 급상승 핫플,family:0.9;couple:0.9;single:0.6;#동물체험;강화군;인스타1만DB,"인천광역시 강화군에서 인스타 소셜 반응이 뜨거운 동물원사파리 명소! 게시물 974,337개 달성",2026-07-26 17:01:20
5,경상북도,의성군,#물놀이장소,의성군 가든 디저트카페 #5,여름/물놀이,"851,288개","4,499개",93.7,[TRENDING] 인스타 핫플,family:0.8;couple:0.7;single:0.8;#물놀이장소;의성군;인스타1만DB,"경상북도 의성군에서 인스타 소셜 반응이 뜨거운 계곡물놀이축제 명소! 게시물 851,288개 달성",2026-07-26 17:01:20
6,부산광역시,연제구,#수목원데이트,연제구 에스 한옥거리 #6,자연/힐링,"1,197,793개","2,812개",92.6,[TRENDING] 인스타 핫플,family:0.9;couple:0.9;single:0.8;#수목원데이트;연제구;인스타1만DB,"부산광역시 연제구에서 인스타 소셜 반응이 뜨거운 식물원수목원 명소! 게시물 1,197,793개 달성",2026-07-26 17:01:20
7,경기도,연천군,#수목원데이트,연천군 스타 한옥거리 #7,자연/힐링,"1,000,746개","1,433개",92.1,[TRENDING] 인스타 핫플,family:0.7;couple:1.0;single:0.8;#수목원데이트;연천군;인스타1만DB,"경기도 연천군에서 인스타 소셜 반응이 뜨거운 식물원수목원 명소! 게시물 1,000,746개 달성",2026-07-26 17:01:20
8,울산광역시,북구,#동물체험,북구 에스 해변카페 #8,동물/아동,"660,141개","3,095개",96.8,[HOT] 급상승 핫플,family:0.8;couple:0.8;single:0.9;#동물체험;북구;인스타1만DB,"울산광역시 북구에서 인스타 소셜 반응이 뜨거운 동물원사파리 명소! 게시물 660,141개 달성",2026-07-26 17:01:20
9,대구광역시,남구,#전시회추천,남구 에스 체험파크 #9,전시/문화,"84,435개","1,463개",94.7,[TRENDING] 인스타 핫플,family:0.8;couple:0.8;single:0.8;#전시회추천;남구;인스타1만DB,"대구광역시 남구에서 인스타 소셜 반응이 뜨거운 미술관전시회 명소! 게시물 84,435개 달성",2026-07-26 17:01:20
10,부산광역시,강서구,#주말가족나들이,강서구 에스 갤러리 #10,가족/소풍,"993,648개","2,944개",96.3,[HOT] 급상승 핫플,family:0.8;couple:0.8;single:0.8;#주말가족나들이;강서구;인스타1만DB,"부산광역시 강서구에서 인스타 소셜 반응이 뜨거운 주말가족나들이 명소! 게시물 993,648개 달성",2026-07-26 17:01:20
11,경기도,여주시,#전시회추천,여주시 선셋 노포야장 #11,전시/문화,"221,305개","2,645개",95.2,[HOT] 급상승 핫플,family:0.9;couple:0.9;single:0.7;#전시회추천;여주시;인스타1만DB,"경기도 여주시에서 인스타 소셜 반응이 뜨거운 미술관전시회 명소! 게시물 221,305개 달성",2026-07-26 17:01:20
12,충청남도,계룡시,#골목투어,계룡시 그린 산책데크 #12,레트로/핫플,"1,060,264개","2,366개",86.4,[TRENDING] 인스타 핫플,family:0.9;couple:0.8;single:0.7;#골목투어;계룡시;인스타1만DB,"충청남도 계룡시에서 인스타 소셜 반응이 뜨거운 레트로노포골목 명소! 게시물 1,060,264개 달성",2026-07-26 17:01:20
