source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
KOPIS 공연예술통합전산망 | 뮤지컬,뮤지컬,팥죽 할멈과 호랑이 [김포],2026-10-09 ~ 2026-10-31,전체 관람가,"경기 김포시 양촌읍 석모로 103 (석모리) | 위도:37.651561, 경도:126.6394602","전석 30,000원",뮤지컬 · 김포한강괜찮은홀 (김포한강괜찮은홀) · 러닝타임 50분,https://booking.naver.com/booking/12/bizes/748615,"genre=뮤지컬;venue=김포한강괜찮은홀 (김포한강괜찮은홀);runtime=50분;cast=안근후, 최설아, 오은진;producer=극단 천사의노래;state=공연예정;showtime=토요일(12：00,14：00), HOL(12：00,14：00);child_show:1.0;seats=110;tel=070-8886-2516;parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,musical:1.0;performance:1.0;indoor:1.0;kids:1.0;민간(대학로 외):1.0,,
KOPIS 공연예술통합전산망 | 뮤지컬,뮤지컬,바둑이와 세리 [대학로],2026-10-01 ~ 2026-11-08,전체 관람가,"서울 종로구 창경궁로 260 (명륜2가) | 위도:37.5843848, 경도:127.00051899999994","전석 66,000원",뮤지컬 · 보라 아트홀(구. 지구인아트홀) (보라 아트홀(구. 지구인아트홀)) · 러닝타임 1시간 30분,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26013220,"genre=뮤지컬;venue=보라 아트홀(구. 지구인아트홀) (보라 아트홀(구. 지구인아트홀));runtime=1시간 30분;cast=신성하, 허찬, 여정윤, 배다빈, 조재령, 김영신, 성석현 등;producer=바둑이와세리 주식회사, 에이엔컴퍼니(AYEN Company);state=공연예정;showtime=화요일 ~ 금요일(20：00), 토요일 ~ 일요일(14：00,18：00), HOL(14：00,18：00);child_show:1.0;daehakro:1.0;seats=170;tel=02-745-3641;cafe:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,musical:1.0;performance:1.0;indoor:1.0;kids:1.0;daehakro:1.0;민간(대학로):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),한이제 오보에 독주회,2026-10-02 ~ 2026-10-02,만 6세 이상,"서울 강북구 월계로 173 (번동) | 위도:37.6214312, 경도:127.0406246","전석 20,000원","[PROGRAM] Charles Koechlin (1867-1950) 14 Pièces pour Hautbois et Piano, Op. 179 No. 1, Andante con moto, quasi allegretto moderato No. 2, Allegretto, pas vite No. 3, Andante No. 4, Allegro, assez animé, gai, solide No. 5, Très doux, presque adagio Francis Poulenc (1899-1963) Sonata for Oboe and Pia…",https://www.sejongpac.or.kr/dfac/dfacPerformance/dfacPerformance/performTicket.do?performIdx=37617&menuNo=1200007,"genre=서양음악(클래식);venue=꿈의숲아트센터 (콘서트홀);runtime=1시간 30분;cast=한이제, 김하은;producer=영음예술기획;state=공연예정;showtime=금요일(19：30);seats=584;tel=02-2289-5401;parking:1.0;cafe:1.0;restaurant:1.0;store:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(기타):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"OH!UCLASSIC, 피터와 늑대 [서울 서초]",2026-09-19 ~ 2026-09-19,전체 관람가,"서울 서초구 반포대로 333 (반포동, 래미안 원베일리) | 위도:37.506544, 경도:126.998705","전석 30,000원","[공연소개] 음악으로, 추억을 선물합니다. 프로코피예프의 명작 를 라이브 연주와 이야기로 만나보세요! 새는 플루트, 오리는 오보에, 고양이는 클라리넷, 늑대는 호른의 소리로 등장합니다. 각각의 악기가 이야기 속 등장인물이 되어 음악과 이야기가 하나의 장면으로 펼쳐집니다. 악기마다 어떤 친구의 목소리를 맡고 있을까요? 이야기를 따라 듣고, 맞혀보고, 함께 참여하다 보면 어느새 클래식이 재미있는 이야기로 다가옵니다. 공연이 끝난 뒤에는 연주자들과 함께하는 포토타임이 준비되어 있습니다. 이제 함께 할 음악이 오래도록 꺼내볼 수 있는 좋은…",https://booking.naver.com/booking/12/bizes/1729603,"genre=서양음악(클래식);venue=원베일리 인바이트 (스카이9 카페(9F));runtime=40분;producer=오에이치유(OHU, OHUART);state=공연예정;showtime=토요일(11：00);child_show:1.0;seats=0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;kids:1.0;기타(비공연장):1.0,,
KOPIS 공연예술통합전산망 | 연극,연극,파편 [인천],2026-10-02 ~ 2026-10-03,만 11세 이상,"인천 남구 매소홀로 618 (문학동) | 위도:37.4374104, 경도:126.69273420000002","전석 1,000원",연극 · 문학시어터 (문학시어터) · 러닝타임 1시간 10분,http://playticket.co.kr/nav/detail.html?idx=4565,"genre=연극;venue=문학시어터 (문학시어터);runtime=1시간 10분;cast=손인찬, 도경국, 김태은, 이현신, 두창혁, 박용완, 손정림 등;producer=극단 피어나;state=공연예정;showtime=금요일(19：30), 토요일(15：00,18：00);seats=111;tel=032-433-3777;parking:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;공공(기타):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"GMC Chamber Series, 피아노 여윤지",2026-10-10 ~ 2026-10-10,만 13세 이상,"부산 수영구 구락로123번길 20 (망미동) | 위도:35.177202, 경도:129.114966","전석 10,000원","[공연소개] 10월 10일 'GMC Chamber Series'에서는 어린 시절부터 국내외 콩쿠르에서 두각을 나타내며 꾸준히 성장해 온 차세대 연주자 여윤지의 피아노 독주회가 열립니다. 최근 2026년 프랑스 리옹 국제콩쿠르에서 2위와 청중상, 스페인 작품 특별상을 수상하였으며 부조니, 하마마쓰 국제 피아노 콩쿠르 등 주요 국제 콩쿠르에서도 본선에 진출했습니다. 현재 서울대학교 피아노과에 재학 중이며 다양한 무대에서 활발한 연주 활동을 이어가고 있습니다. [PROGRAM] 하이든 - 피아노 소나타 제47번 B단조 Haydn - Pi…",https://booking.naver.com/booking/12/bizes/638550,genre=서양음악(클래식);venue=F1963 (GMC금난새뮤직센터);runtime=1시간 30분;cast=여윤지;state=공연예정;showtime=토요일(17：00);seats=620;tel=051-756-1963;parking:1.0;cafe:1.0;restaurant:1.0;barrier_free_parking:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(기타):1.0,,
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),Cinema in Concert: 영화가 노래하는 순간 [부산],2026-09-19 ~ 2026-09-19,전체 관람가,"부산 해운대구 수영강변대로 120 (우동) | 위도:35.1711778, 경도:129.12719560000005",전석무료,서양음악(클래식) · (재) 영화의전당 (하늘연극장) · 러닝타임 1시간 10분,https://www.dureraum.org/bcc/ccontents/view.do?rbsIdx=39&contentsCode=20260910002,"genre=서양음악(클래식);venue=(재) 영화의전당 (하늘연극장);runtime=1시간 10분;cast=황윤정, 박연경, 이진영, 장지현, 한우인, 한정현, 이남현 등;producer=예술을 담는 마을;state=공연예정;showtime=토요일(19：30);seats=4877;tel=051-780-6000;parking:1.0;cafe:1.0;store:1.0;nursing_room:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 연극,연극,"제16회 강동예술인페스티벌, 강동연극협회: 사흘만 볼 수 있다면",2026-09-20 ~ 2026-09-20,만 5세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,연극 · 강동아트센터 (소극장 드림) · 러닝타임 1시간 30분,https://www.gdfac.or.kr/product/performance/258489,"genre=연극;venue=강동아트센터 (소극장 드림);runtime=1시간 30분;cast=전영주, 박새하, 박보결, 김복남, 임수경, 민지혁, 최임경 등;producer=루씨드드림 문화예술협동조합;state=공연예정;showtime=일요일(18：00);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 복합,복합,"제16회 강동예술인페스티벌, 강동무용협회: 봄, 여름, 가을, 겨울 그리고 사랑",2026-09-19 ~ 2026-09-19,만 5세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,복합 · 강동아트센터 (대극장 한강) · 러닝타임 1시간,https://www.gdfac.or.kr/product/performance/258487,genre=복합;venue=강동아트센터 (대극장 한강);runtime=1시간;state=공연예정;showtime=토요일(17：00);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,mixed:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 한국음악(국악),한국음악(국악),"제16회 강동예술인페스티벌, 강동국악협회: 전통과 현대사이",2026-09-13 ~ 2026-09-13,만 3세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,"[공연소개] 본 공연은 강동예술인페스티벌 강동국악협회 정기공연입니다. 전통과 현대를 아우르는 국악의 멋을 공연으로 표현한 작품들로 이루어져 있으며 어린아이부터 어르신까지 프로,아마추어가 함께 준비하여 강동구민들 뿐만 아니라 모두가 흥겹게 즐길 수 있도록 준비하였습니다.",https://www.gdfac.or.kr/product/performance/258481,genre=한국음악(국악);venue=강동아트센터 (소극장 드림);runtime=1시간 10분;state=공연예정;showtime=일요일(17：00);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,traditional:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"일단 달려봅니다, 그리고 윤성혁과 급한 노새와 채무자들",2026-10-04 ~ 2026-10-04,전체 관람가,"서울 마포구 독막로8길 7 (합정동) | 위도:37.547514, 경도:126.918374","현장판매 35,000원, 사전예약 30,000원",대중음악 · 우무지 (우무지) · 러닝타임 2시간 20분,https://ticket.melon.com/performance/index.htm?prodId=213861,"genre=대중음악;venue=우무지 (우무지);runtime=2시간 20분;cast=윤성혁, 최종빈, 박니하, 문종원, 류용운, 조휴연, 최양업 등;producer=(사) 코드(우무지);state=공연예정;showtime=일요일(17：00);seats=100;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,
