category,goods_code,title,venue,start_date,end_date,price_info,booking_percent,rank,booking_url,image_url,ai_tags,crawled_at
콘서트/페스티벌,26011315,마룬5 내한공연,"킨텍스 제1전시장 4,5홀",2027-01-27,2027-01-27,11,8.9%,1,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26011315,//ticketimage.interpark.com/Play/image/large/26/26011315_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26008234,NCT DREAM 10TH ANNIVERSARY PARTY 〈THE SWEET DREAM HOTEL〉,인스파이어 아레나,2026-08-22,2026-08-23,11,7.8%,2,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26008234,//ticketimage.interpark.com/Play/image/large/26/26008234_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26009868,2026 임영웅 콘서트 ［IM HERO - THE STADIUM 2］,고양종합운동장 주경기장,2026-09-04,2026-09-06,11,7.6%,3,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26009868,//ticketimage.interpark.com/Play/image/large/26/26009868_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26012100,2026 TVT CONCERT : 우리네 인생은 끝없는 서부영화.,장충체육관,2026-09-18,2026-09-20,11,5.5%,4,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26012100,//ticketimage.interpark.com/Play/image/large/26/26012100_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26010333,옥토버페스트 서울 2026 일반석,문화비축기지,2026-09-12,2026-09-21,8,4.8%,5,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26010333,//ticketimage.interpark.com/Play/image/large/26/26010333_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26010008,포르쉐 바이브 서울,문화비축기지,2026-10-03,2026-10-04,9,4.7%,6,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26010008,//ticketimage.interpark.com/Play/image/large/26/26010008_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26010248,"2026 성시경 with friends ［자,오늘은］",올림픽 공원 88잔디마당,2026-09-05,2026-09-06,10,3.1%,7,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26010248,//ticketimage.interpark.com/Play/image/large/26/26010248_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26011660,2026 세종보헤미안뮤직페스티벌,세종중앙공원 도시축제마당(예정),2026-10-30,2026-11-01,9,3.1%,7,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26011660,//ticketimage.interpark.com/Play/image/large/26/26011660_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26010722,테라와 함께하는 2026 이슬라이브 페스티벌,송도달빛축제공원,2026-09-12,2026-09-12,9,3%,9,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26010722,//ticketimage.interpark.com/Play/image/large/26/26010722_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
콘서트/페스티벌,26004944,포스트 말론 내한공연,고양종합운동장 주경기장,2026-10-02,2026-10-02,10,2.3%,10,https://tickets.interpark.com//ticket.interpark.com/Tiki/Main/TiKiGoodsinfo.asp?GoodsCode=26004944,//ticketimage.interpark.com/Play/image/large/26/26004944_p.gif,family:0.5;couple:0.95;single:0.9;콘서트/페스티벌;인터파크실시간,2026-08-22 23:32:59
