place_id,place_name,trend_score,blog_count,top_blog_title,top_blog_desc,road_address,updated_at
1,여의도 한강공원,43.6,0,,,서울 영등포구 여의동로 330,2026-07-26 16:17:08
2,성수동 에스팩토리 팝업 존,0.0,0,,,서울 성동구 연무장15길 11,2026-07-26 16:17:08
3,국립현대미술관 서울관,2.3,0,,,서울 종로구 삼청로 30,2026-07-26 16:17:08
4,서울 어린이대공원,36.5,0,,,서울 광진구 능동로 216,2026-07-26 16:17:08
5,낙산공원 성곽길,5.0,0,,,서울 종로구 낙산길 41,2026-07-26 16:17:08
6,북촌 익선동 한옥 갤러리,0.0,0,,,서울 종로구 수표로28길 17,2026-07-26 16:17:08
7,스타필드 코엑스몰 별마당도서관,0.1,0,,,서울 강남구 영동대로 513,2026-07-26 16:17:08
8,경복궁 야간개장,59.2,0,,,서울 종로구 사직로 161,2026-07-26 16:17:08
9,연남동 독립서점 '글자숲',0.0,0,,,서울 마포구 성미산로 198,2026-07-26 16:17:08
10,반포한강공원 예빛섬,0.0,0,,,서울 서초구 신반포로11길 145-8,2026-07-26 16:17:08
11,동대문디자인플라자 (DDP),0.2,0,,,서울 중구 을지로 281,2026-07-26 16:17:08
12,성수연무장길 카페거리,0.0,0,,,서울 성동구 연무장길 37-14,2026-07-26 16:17:08
13,선유도공원 온실관,0.0,0,,,서울 영등포구 선유로 343,2026-07-26 16:17:08
14,롯데월드 어드벤처,95.2,0,,,서울 송파구 올림픽로 240,2026-07-26 16:17:08
15,송파 한성백제박물관,1.3,0,,,서울 송파구 위례성대로 71,2026-07-26 16:17:08
16,광화문 국밥 공화국,0.0,0,,,서울 종로구 세종대로 149,2026-07-26 16:17:08
17,성수 쌀국수 마당,0.0,0,,,서울 성동구 서울숲2길 32,2026-07-26 16:17:08
18,연남동 파스타 하우스,0.0,0,,,서울 마포구 연남동 228-51,2026-07-26 16:17:08
19,이태원 수제버거 랩,0.0,0,,,서울 용산구 이태원로 177,2026-07-26 16:17:08
20,잠실 참치회 전문점 '청바다',0.0,0,,,서울 송파구 잠실로 148,2026-07-26 16:17:08
21,강남 뒷골목 순대국 할머니집,0.0,0,,,서울 강남구 논현동 215-10,2026-07-26 16:17:08
22,북촌 한옥 한정식,0.0,0,,,서울 종로구 계동길 86,2026-07-26 16:17:08
23,망원동 디저트 카페 '단팥',0.0,0,,,서울 마포구 망원동 415-4,2026-07-26 16:17:08
24,서울숲 브런치 카페 '그리너리',0.0,0,,,서울 성동구 뚝섬로 273,2026-07-26 16:17:08
25,을지로 노포 타코야끼 '야끼야끼',0.0,0,,,서울 중구 을지로3가 347-5,2026-07-26 16:17:08
26,마포 패밀리 레스토랑 '올리버',0.0,0,,,서울 마포구 양화로 45,2026-07-26 16:17:08
27,신사동 고기집 '마블리',0.0,0,,,서울 강남구 압구정로2길 40,2026-07-26 16:17:08
28,강동아트센터 대극장 한강,97.2,0,,,서울 동대문구 아르코 카멜리아홀,2026-07-26 16:17:08
