source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
네이버 장소검색 | 서울 강남구,사설키즈카페,캘리클럽 역삼점,상시,영유아 및 어린이 (0세~9세),서울 강남구 캘리클럽 역삼점,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [캘리클럽 역삼점]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,챔피언더블랙벨트 메가박스 코엑스몰점,상시,영유아 및 어린이 (0세~9세),서울 강남구 챔피언더블랙벨트 메가박스 코엑스몰점,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [챔피언더블랙벨트 메가박스 코엑스몰점]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,고마워토토 삼성점,상시,영유아 및 어린이 (0세~9세),서울 강남구 고마워토토 삼성점,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [고마워토토 삼성점]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,릴리펏 청담본점,상시,영유아 및 어린이 (0세~9세),서울 강남구 릴리펏 청담본점,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [릴리펏 청담본점]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,리틀 아티스트,상시,영유아 및 어린이 (0세~9세),서울 강남구 리틀 아티스트,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [리틀 아티스트]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,앤서니그린,상시,영유아 및 어린이 (0세~9세),서울 강남구 앤서니그린,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [앤서니그린]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,서울형키즈카페양재1동점 23개월아기랑무료,상시,영유아 및 어린이 (0세~9세),서울 강남구 서울형키즈카페양재1동점 23개월아기랑무료,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [서울형키즈카페양재1동점 23개월아기랑무료]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,서울시 논현동,상시,영유아 및 어린이 (0세~9세),서울 강남구 서울시 논현동,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [서울시 논현동]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,서울천원,상시,영유아 및 어린이 (0세~9세),서울 강남구 서울천원,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [서울천원]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
네이버 장소검색 | 서울 강남구,사설키즈카페,세곡어린이,상시,영유아 및 어린이 (0세~9세),서울 강남구 세곡어린이,무료/유료 (플레이스 참조),서울 강남구에 위치한 인기 아기랑 키즈카페 명소인 [세곡어린이]입니다.,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%82%A8%EA%B5%AC%20%EC%95%84%EA%B8%B0%EB%9E%91%20%ED%82%A4%EC%A6%88%EC%B9%B4%ED%8E%98,family:1.0;baby:1.0;parking:1.0;nursing_room:1.0;강남구;아기랑 키즈카페,2026-08-22 20:34:25,toddler:1.0;indoor:0.9;play:1.0,,
