place_id,name,category,address,latitude,longitude,is_parking_available,is_stroller_accessible,has_nursing_room,no_kids_zone
1,여의도 한강공원,공원/야외,서울 영등포구 여의동로 330,37.5284,126.9331,TRUE,TRUE,FALSE,FALSE
2,성수동 에스팩토리 팝업 존,팝업스토어,서울 성동구 연무장15길 11,37.5425,127.0601,FALSE,FALSE,FALSE,FALSE
3,국립현대미술관 서울관,미술관/전시,서울 종로구 삼청로 30,37.5786,126.9798,TRUE,TRUE,TRUE,FALSE
4,서울 어린이대공원,공원/야외,서울 광진구 능동로 216,37.548,127.0815,TRUE,TRUE,TRUE,FALSE
5,낙산공원 성곽길,공원/야외,서울 종로구 낙산길 41,37.5807,127.0076,FALSE,FALSE,FALSE,FALSE
6,북촌 익선동 한옥 갤러리,미술관/전시,서울 종로구 수표로28길 17,37.5744,126.9897,FALSE,FALSE,FALSE,TRUE
7,스타필드 코엑스몰 별마당도서관,복합문화공간,서울 강남구 영동대로 513,37.5126,127.0589,TRUE,TRUE,TRUE,FALSE
8,경복궁 야간개장,문화유산/역사,서울 종로구 사직로 161,37.5796,126.977,TRUE,TRUE,FALSE,FALSE
9,연남동 독립서점 '글자숲',도서/문화,서울 마포구 성미산로 198,37.5621,126.9245,FALSE,FALSE,FALSE,TRUE
10,반포한강공원 예빛섬,공원/야외,서울 서초구 신반포로11길 145-8,37.5113,126.9959,TRUE,TRUE,TRUE,FALSE
11,동대문디자인플라자 (DDP),미술관/전시,서울 중구 을지로 281,37.5665,127.0092,TRUE,TRUE,TRUE,FALSE
12,성수연무장길 카페거리,카페/식음,서울 성동구 연무장길 37-14,37.5432,127.0544,FALSE,FALSE,FALSE,TRUE
13,선유도공원 온실관,공원/야외,서울 영등포구 선유로 343,37.5422,126.9017,FALSE,TRUE,FALSE,FALSE
14,롯데월드 어드벤처,테마파크,서울 송파구 올림픽로 240,37.5111,127.0982,TRUE,TRUE,FALSE,FALSE
15,송파 한성백제박물관,박물관/전시,서울 송파구 위례성대로 71,37.5173,127.1264,TRUE,TRUE,TRUE,FALSE
16,광화문 국밥 공화국,문화유산/역사,서울 종로구 세종대로 172,37.5724,126.9769,TRUE,TRUE,FALSE,FALSE
17,성수 쌀국수 마당,맛집/아시안,서울 성동구 서울숲2길 32,37.5447,127.0431,FALSE,FALSE,FALSE,FALSE
18,연남동 파스타 하우스,맛집/양식,서울 마포구 연남동 228-51,37.5638,126.9244,FALSE,FALSE,FALSE,TRUE
19,이태원 수제버거 랩,카페/식음,서울 용산구 이태원로 177,37.534,126.994,TRUE,TRUE,FALSE,FALSE
20,잠실 참치회 전문점 '청바다',맛집/일식,서울 송파구 잠실로 148,37.514,127.1,TRUE,TRUE,FALSE,FALSE
21,강남 뒷골목 순대국 할머니집,맛집/한식,서울 강남구 논현동 215-10,37.5165,127.0283,FALSE,FALSE,FALSE,FALSE
22,북촌 한옥 한정식,문화유산/역사,서울 종로구 계동길 37,37.5826,126.9845,TRUE,TRUE,FALSE,FALSE
23,망원동 디저트 카페 '단팥',맛집/카페·디저트,서울 마포구 망원동 415-4,37.5558,126.9048,FALSE,TRUE,FALSE,FALSE
24,서울숲 브런치 카페 '그리너리',맛집/카페·디저트,서울 성동구 뚝섬로 273,37.5449,127.0376,TRUE,TRUE,FALSE,FALSE
25,을지로 노포 타코야끼 '야끼야끼',맛집/일식,서울 중구 을지로3가 347-5,37.5675,126.9927,FALSE,FALSE,FALSE,FALSE
26,마포 패밀리 레스토랑 '올리버',맛집/양식,서울 마포구 양화로 45,37.5488,126.9066,TRUE,TRUE,TRUE,FALSE
27,신사동 고기집 '마블리',맛집/한식,서울 강남구 압구정로2길 40,37.5247,127.0207,TRUE,FALSE,FALSE,FALSE
28,강동아트센터 대극장 한강,어린이/체험,경기 수원시 경기아트센터 경기도청 공공 육아 '아빠육아달인 100단 아빠단 토크 콘서트',37.5665,126.978,TRUE,TRUE,TRUE,FALSE
29,강남 MICE 관광특구,복합문화공간,서울 강남구 영동대로 513,37.5117,127.0592,TRUE,TRUE,FALSE,FALSE
30,동대문 패션타운 관광특구,복합문화공간,서울 중구 마장로 22,37.5682,127.0089,TRUE,TRUE,FALSE,FALSE
31,명동 관광특구,카페/식음,서울 중구 명동길 43,37.5635,126.9837,TRUE,TRUE,FALSE,FALSE
32,종로·청계 관광특구,문화유산/역사,서울 종로구 종로 51,37.5702,126.9831,TRUE,TRUE,FALSE,FALSE
33,홍대 관광특구,복합문화공간,서울 마포구 어울마당로 123,37.5563,126.9234,TRUE,TRUE,FALSE,FALSE
34,덕수궁,문화유산/역사,서울 중구 세종대로 99,37.5658,126.9751,TRUE,TRUE,FALSE,FALSE
35,창덕궁,문화유산/역사,서울 종로구 율곡로 99,37.5794,126.991,TRUE,TRUE,FALSE,FALSE
36,창경궁,문화유산/역사,서울 종로구 창경궁로 185,37.5791,126.9948,TRUE,TRUE,FALSE,FALSE
37,종묘,문화유산/역사,서울 종로구 종로 157,37.5746,126.9941,TRUE,TRUE,FALSE,FALSE
38,숭례문,문화유산/역사,서울 중구 세종대로 40,37.5599,126.9753,TRUE,TRUE,FALSE,FALSE
39,국립중앙박물관,박물관/전시,서울 용산구 서빙고로 137,37.524,126.9804,TRUE,TRUE,FALSE,FALSE
40,서울시립미술관,미술관/전시,서울 중구 덕수궁길 61,37.5642,126.9738,TRUE,TRUE,FALSE,FALSE
41,세종문화회관,복합문화공간,서울 종로구 세종대로 175,37.5725,126.976,TRUE,TRUE,FALSE,FALSE
42,동대문디자인플라자(DDP),복합문화공간,서울 중구 을지로 281,37.5665,127.009,TRUE,TRUE,FALSE,FALSE
43,남산골한옥마을,문화유산/역사,서울 중구 퇴계로34길 28,37.5593,126.9944,TRUE,TRUE,FALSE,FALSE
44,남산공원,공원/야외,서울 용산구 남산공원길 105,37.5512,126.9882,TRUE,TRUE,FALSE,FALSE
45,서울어린이대공원,가족/여행,서울/경기 가평 베키키즈풀빌라 & 아침고요수목원,37.5499,127.0813,TRUE,TRUE,TRUE,FALSE
