source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
팝가(Popga) | 팝업스토어,팝업스토어,이탈리아 제품전 - VIVA ITALIA,2026-08-26 ~ 2026-09-13,전연령,"서울 강남구 가로수길 69 | 위도:37.5225631447, 경도:127.0223709972",,"이탈리아무역공사(ITA)와 CJ온스타일이 함께하는 VIVA ITALIA가 하이스트리트 이탈리아에서 열려요! 🇮🇹 밀라노·로마·나폴리의 라이프스타일을 테마로 한 공간에서 리빙, 주얼리, F&B, 모빌리티 등 약 100개 이탈리아 브랜드를 보고, 만져보고, 구매할 수 있어요.✨ 나들이 하기 좋은 계절, 서울에서 가장 가까운 이탈리아를 만나러 오세요!",https://www.instagram.com/p/DcaYRWDTWvM/,강남:1.0;신사:1.0;가로수길:1.0;가로수길 팝업:1.0;강남 팝업:1.0;강남/서초:1.0;신사동:1.0;신사동 팝업:1.0;VIVA ITALIA:1.0;비바 이탈리아:1.0;VIVA ITALIA 팝업:1.0;비바 이탈리아 팝업:1.0;이탈리아 제품전:1.0;이탈리아 브랜드:1.0;이탈리아:1.0;이탈리아무역공사:1.0;ITA:1.0;CJ온스타일:1.0;CJ ONSTYLE:1.0;하이스트리트 이탈리아:1.0;High Street Italia:1.0;라이프스타일:1.0;라이프스타일 팝업:1.0;리빙:1.0;리빙 팝업:1.0;인테리어:1.0;주얼리:1.0;F&B:1.0;뷰티:1.0;모빌리티:1.0;아쿠아 디 파르마:1.0;보로탈코:1.0;베스파:1.0;비앙키:1.0;무랄리아:1.0;비알레띠:1.0;마지스:1.0;아르떼미데:1.0;돌레란:1.0;제옥스:1.0;무료 전시:1.0;체험형 팝업:1.0;쇼핑가능:1.0;couple_score:0.8;couple_signal_soft:1.0;pick_count:2;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,F&B:1.0;뷰티:1.0;패션:1.0;라이프스타일:1.0;리빙/인테리어:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,비틀스 서울에디션 팝업 @현대백화점 킨텍스점,2026-09-18 ~ 2026-10-01,전연령,"경기 고양시 일산서구 호수로 817 | 위도:37.6679852145, 경도:126.7516475715",,전설적인 밴드 비틀스를 한 공간에서 만나다🎸 비틀스 서울에디션 팝업 세 번째 행선지는 현대백화점 킨텍스점🌹 킨텍스점만의 새로운 콘텐츠는 추후 공개됩니다.,https://www.instagram.com/p/DciCo-yOdxH/,일산:1.0;고양:1.0;일산 팝업:1.0;고양 팝업:1.0;현대백화점 킨텍스점:1.0;비틀스:1.0;비틀스 팝업:1.0;비틀스서울에디션팝업:1.0;The Beatles:1.0;연예인:1.0;체험형 팝업:1.0;포토존:1.0;couple_score:0.6;couple_signal_soft:1.0;pick_count:1;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,연예인/셀럽:1.0;연예인:1.0;실내 팝업:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,비틀스 서울에디션 팝업 @더현대 서울,2026-09-04 ~ 2026-09-13,전연령,"서울 영등포구 여의대로 108 | 위도:37.5256874684, 경도:126.928615993",,전설적인 밴드 비틀스를 한 공간에서 만나다🎸 비틀스 서울에디션 팝업 두번째 행선지는 더현대 서울🌹 더현대 서울에서는 익스클루시브 MD에 더해 유니버설 뮤직의 다양한 LP를 함께 만나볼 수 있어요💿,https://www.instagram.com/p/DciCo-yOdxH/,여의도:1.0;여의도 팝업:1.0;더현대 서울:1.0;더현대 팝업:1.0;비틀스:1.0;비틀스 팝업:1.0;비틀스서울에디션팝업:1.0;The Beatles:1.0;연예인:1.0;체험형 팝업:1.0;포토존:1.0;couple_score:0.6;couple_signal_soft:1.0;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,연예인/셀럽:1.0;연예인:1.0;실내 팝업:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,ahro 팝업스토어 IN 홍대,2026-09-01 ~ 2026-09-14,전연령,"서울 마포구 양화로 188 | 위도:37.5576717025, 경도:126.9265766062",,"달에 피는 꽃, 금목서의 향을 담은 아로의 시그니처 풀 문 블로썸을 직접 만나볼 수 있는 ahro(아로)의 팝업스토어가 열립니다. 이번 ahro(아로)의 팝업 스토어에서는 다양한 향수와 캔들, 신제품 사쉐까지 그 향에 담긴 이야기를 보다 가까이에서 느끼실 수 있습니다 ✨ 홍대에서 ahro(아로)와 함께 가장 진한 가을을 만나보세요.",https://www.instagram.com/ahro_official/?hl=ko,홍대:1.0;홍대 팝업:1.0;홍대/신촌:1.0;AK플라자 홍대:1.0;AK플라자 홍대 팝업:1.0;AK&홍대:1.0;AK&홍대 팝업:1.0;아로:1.0;아로 팝업:1.0;ahro:1.0;ahro 팝업:1.0;AHRO:1.0;AHRO 팝업:1.0;풀 문 블로썸:1.0;Full Moon Blossom:1.0;금목서:1.0;금목서 향수:1.0;향수:1.0;향수 팝업:1.0;뷰티:1.0;뷰티 팝업:1.0;캔들:1.0;사쉐:1.0;신제품 사쉐:1.0;디스커버리 세트:1.0;디스커버리 세트 커스텀:1.0;가챠 이벤트:1.0;시향:1.0;쇼핑가능:1.0;couple_score:0.5;couple_signal_soft:1.0;pick_count:7;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,뷰티:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,TV애니메이션 블리치 천년혈전편 AT 피규어프레소 공식 콜라보 카페,2026-09-11 ~ 2026-10-11,전연령,"서울 마포구 와우산로29길 48-11 | 위도:37.5560819, 경도:126.9274614",,[피규어프레소 ✕ 블리치 천년혈전편] TV애니메이션 블리치 천년혈전편 공식 콜라보 카페가 피규어프레소 에프피점에서 개최됩니다 ⸝*,https://popga.co.kr/popup/8762,홍대:1.0;블리치 팝업:1.0;블리치 콜라보 카페:1.0;홍대 팝업:1.0;애니메이션:1.0;홍대/신촌:1.0;couple_score:0.2;couple_signal_soft:1.0;pick_count:11;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,애니/캐릭터:1.0;일본 애니메이션:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,노란우산 팝업스토어,2026-09-04 ~ 2026-09-06,전연령,"서울 성동구 연무장7길 16 | 위도:37.5439485, 경도:127.0550987",,"노란우산 생일카페에 초대합니다 🎂💛 [성수에서 단 3일간 열리는 노란우산 팝업스토어] 노란우산의 다양한 혜택을 재미있게 알아보고 직접 체험할 수 있는 프로그램부터, 팝업에서만 만나볼 수 있는 이벤트와 굿즈까지! 19살이 된 노란우산의 생일카페에서 나에게 필요한 노란우산의 혜택을 하나씩 만나보세요. 🎁 다양한 체험 프로그램과 100%굿즈 증정 🎮 참여형 게임 & 이벤트 📸 포토존 💛 노란우산의 주요 혜택을 재미있게 알아보는 콘텐츠 노란우산이 준비한 특별한 생일카페에 놀러 오세요.",https://www.instagram.com/noranusan_official,성수:1.0;노란우산:1.0;노란우산 팝업:1.0;성수 팝업:1.0;체험형 팝업:1.0;couple_score:0.3;couple_signal_soft:1.0;pick_count:17;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,라이프스타일:1.0;금융/재테크:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,일리고 X 애즈유아 팝업,2026-08-28 ~ 2026-09-11,전연령,"서울 성동구 성수이로 62 | 위도:37.5403623258, 경도:127.0558577873",,"일리고와 애즈유아가 함께하는 26 FALL COLLECTION 팝업입니다. 무신사 메가스토어 성수에서 신상품을 가장 먼저 만나볼 수 있고, 현장 구매 고객을 위한 단독 할인과 한정 사은품도 준비되어 있습니다.",https://www.instagram.com/p/Dcikv2Bid-F/?img_index=1,성수:1.0;성수 팝업:1.0;성수동 팝업:1.0;성수역:1.0;일리고:1.0;일리고 팝업:1.0;애즈유아:1.0;애즈유아 팝업:1.0;ASUR:1.0;ASUR 팝업:1.0;ILLIGO:1.0;ILLIGO 팝업:1.0;무신사:1.0;무신사 메가스토어:1.0;무신사 메가스토어 성수:1.0;26 FALL COLLECTION:1.0;패션 팝업:1.0;패션:1.0;pick_count:7;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,패션:1.0;의류:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,유어마인드 X 원모어백 팝업,2026-08-27 ~ 2026-09-14,전연령,"서울 종로구 필운대로 6-1 | 위도:37.5766478726, 경도:126.9693739674",,"유어마인드 ‘책 위에 집을 짓자’의 세계가 확장되어 원모어백에 찾아옵니다. 짧은 기간 동안 품절이 반복된 집 옆에 나무와 자동차, 버섯과 밑둥, 동물 친구들까지 총 8가지의 새로운 책갈피를 팝업스토어로 소개합니다. 🔖📖",https://www.instagram.com/p/DcOHI91mBMg/,종로:1.0;종로 팝업:1.0;유어마인드 팝업:1.0;원모어백:1.0;문구:1.0;책갈피:1.0;굿즈:1.0;문구 팝업:1.0;원모어백:1.0;유어마인드:1.0;책갈피:1.0;책 위에 집을 짓자:1.0;couple_score:0.3;couple_signal_soft:1.0;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,문구/아트:1.0;문구:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,기아 채용 팝업 - What Moves You?,2026-09-10 ~ 2026-09-11,전연령,"서울 성동구 왕십리로 82-20 | 위도:37.5448014433, 경도:127.0456227442",,"2026 기아 채용 팝업 스토어 <What Moves You?> 당신을 움직이게 하는 것은 무엇인가요? 9월 3주차 2026 기아 하반기 신입 채용 오픈 전, 오직 팝업 스토어에서만 만날 수 있는 특별한 채용 경험에 여러분을 초대합니다. 🚗🖤",https://www.instagram.com/p/Dcfb117jjVq/,성수:1.0;성수 팝업:1.0;기아 팝업:1.0;기아 채용 팝업:1.0;채용:1.0;취준생:1.0;이직준비생:1.0;취업준비생:1.0;현직자인터뷰:1.0;체험형 팝업:1.0;pick_count:6;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,라이프스타일:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,베리베리 팝업 - CONFETTI,2026-08-27 ~ 2026-09-17,전연령,"서울 중구 장충단로 275 | 위도:37.5688849423, 경도:127.0087751142",,베리베리의 미니 8집 'CONFETTI' 발매 기념 오프라인 팝업을 진행합니다. 올리브영 두타점에서 미공개 포토카드부터 스페셜 이벤트까지 만나보세요! ❤️,https://x.com/MINIRECORD_SHOP/status/2092839527291535635,동대문:1.0;동대문 팝업:1.0;중구:1.0;중구 팝업:1.0;올리브영 두타점:1.0;베리베리:1.0;VERYVERY:1.0;미니레코드:1.0;minirecoed:1.0;CONFETTI:1.0;연예인:1.0;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,연예인/셀럽:1.0;연예인:1.0;popup:1.0,,
팝가(Popga) | 팝업스토어,팝업스토어,요기보 팝업,2026-08-27 ~ 2026-09-13,전연령,"서울 성동구 연무장3길 13 | 위도:37.5449131125, 경도:127.0516611186",,"""잘 쉬는 것도 능력이다!"" 요기보 성수 팝업스토어가 드디어 오픈했습니다! 🎉 보기만 해도 힐링되는 다채로운 컬러의 요기보 빈백 귀여운 요기보 메이트 친구들이 여러분을 기다리고 있어요. 💙🧡",https://www.instagram.com/p/DciKxDqm2pG/,성수:1.0;성수 팝업:1.0;요기보 팝업:1.0;팝앳킴:1.0;리빙:1.0;휴식:1.0;성수데이트:1.0;빈백 추천:1.0;couple_score:1.2;couple_signal_strong:1.0;pick_count:4;verified_at=2026-09-11 22:00:13,2026-08-28 23:08:38,라이프스타일:1.0;리빙/인테리어:1.0;popup:1.0,,
