metric_id,place_id,tmap_rank,seoul_crowd_level,updated_at
1,1,999,CONGESTED,2026-07-26 16:19:20
2,2,3,LOW,2026-07-26 16:19:29
3,3,12,MODERATE,2026-07-26 15:25:21
4,4,5,LOW,2026-07-26 16:01:54
5,5,15,LOW,2026-07-26 15:25:21
6,6,8,MODERATE,2026-07-26 16:19:32
7,7,2,CONGESTED,2026-07-26 15:25:21
8,8,4,MODERATE,2026-07-26 16:19:12
9,9,25,LOW,2026-07-26 16:19:30
10,10,6,MODERATE,2026-07-26 16:19:20
11,11,7,CONGESTED,2026-07-26 15:25:21
12,12,9,VERY_CONGESTED,2026-07-26 15:25:21
13,13,20,LOW,2026-07-26 16:19:26
14,14,999,VERY_CONGESTED,2026-07-26 16:19:11
15,15,18,LOW,2026-07-26 15:25:22
16,16,999,CONGESTED,2026-07-26 16:19:14
17,17,14,VERY_CONGESTED,2026-07-26 15:25:22
18,18,13,LOW,2026-07-26 16:01:57
19,19,999,LOW,2026-07-26 16:19:10
20,20,22,MODERATE,2026-07-26 15:25:22
21,21,30,VERY_CONGESTED,2026-07-26 16:02:00
22,22,999,CONGESTED,2026-07-26 16:19:36
23,23,16,CONGESTED,2026-07-26 16:02:05
24,24,12,LOW,2026-07-26 16:19:18
25,25,19,LOW,2026-07-26 16:19:38
26,26,17,MODERATE,2026-07-26 15:25:22
27,27,20,VERY_CONGESTED,2026-07-26 16:02:00
28,28,1,LOW,2026-07-26 17:08:40
29,29,999,VERY_CONGESTED,2026-07-26 16:19:09
30,30,999,LOW,2026-07-26 16:19:09
31,31,999,VERY_CONGESTED,2026-07-26 16:19:10
32,32,999,CONGESTED,2026-07-26 16:19:11
33,33,999,MODERATE,2026-07-26 16:19:11
34,34,999,LOW,2026-07-26 16:19:12
35,35,999,LOW,2026-07-26 16:19:13
36,36,999,LOW,2026-07-26 16:19:13
37,37,999,LOW,2026-07-26 16:19:14
38,38,999,MODERATE,2026-07-26 16:19:15
39,39,999,LOW,2026-07-26 16:19:16
40,40,999,LOW,2026-07-26 16:19:16
41,41,999,LOW,2026-07-26 16:19:16
42,42,999,LOW,2026-07-26 16:19:17
43,43,999,LOW,2026-07-26 16:19:17
44,44,999,LOW,2026-07-26 16:19:39
45,45,1,CONGESTED,2026-07-26 16:56:53
46,46,999,CONGESTED,2026-07-26 16:19:21
47,47,999,CONGESTED,2026-07-26 16:19:21
48,48,999,CONGESTED,2026-07-26 16:19:22
49,49,999,LOW,2026-07-26 16:19:22
50,50,999,CONGESTED,2026-07-26 16:19:23
51,51,999,CONGESTED,2026-07-26 16:19:23
52,52,999,CONGESTED,2026-07-26 16:19:24
53,53,999,LOW,2026-07-26 16:19:24
54,54,999,VERY_CONGESTED,2026-07-26 16:19:25
55,55,999,CONGESTED,2026-07-26 16:19:25
56,56,999,LOW,2026-07-26 16:19:25
57,57,999,MODERATE,2026-07-26 16:19:27
58,58,999,LOW,2026-07-26 16:19:28
59,59,999,LOW,2026-07-26 16:19:28
60,60,999,LOW,2026-07-26 16:19:29
61,61,999,MODERATE,2026-07-26 16:19:31
62,62,999,LOW,2026-07-26 16:19:31
63,63,999,LOW,2026-07-26 16:19:32
64,64,999,CONGESTED,2026-07-26 16:19:33
65,65,999,LOW,2026-07-26 16:19:33
66,66,999,LOW,2026-07-26 16:19:34
67,67,999,LOW,2026-07-26 16:19:34
68,68,999,MODERATE,2026-07-26 16:19:35
69,69,999,LOW,2026-07-26 16:19:35
70,70,999,MODERATE,2026-07-26 16:19:36
71,71,999,VERY_CONGESTED,2026-07-26 16:19:37
72,72,999,LOW,2026-07-26 16:19:37
73,73,999,LOW,2026-07-26 16:19:38
74,74,999,LOW,2026-07-26 16:32:17
75,75,999,LOW,2026-07-26 16:32:17
76,76,999,LOW,2026-07-26 16:32:17
