area_cd,area_nm,lat,lng,congest_lvl,congest_msg,ppltn_min,ppltn_max,rate_age_0_9,resnt_rate,measured_at,fcst_time,fcst_congest_lvl,collected_at
POI001,강남 MICE 관광특구,,,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,1.0,23.1,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI002,동대문 관광특구,37.569193252641526,127.01282716149097,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,24000,26000,1.2,31.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI003,명동 관광특구,37.5626571977151,126.985209080382,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,54000,56000,0.7,34.1,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI004,이태원 관광특구,37.5349073364554,126.997388675434,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,0.2,9.7,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI005,잠실 관광특구,,,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,82000,84000,0.5,6.6,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI006,종로·청계 관광특구,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,28000,30000,0.8,32.3,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI007,홍대 관광특구,,,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,84000,86000,0.7,26.0,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI008,경복궁,37.577613288258206,126.97689786832184,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,1.0,36.2,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI009,광화문·덕수궁,37.57596445980707,126.97685309595215,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,24000,26000,0.9,28.2,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI010,보신각,37.5697676518348,126.983645583112,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,0.7,36.2,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI011,서울 암사동 유적,37.5605464139303,127.130257802123,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,3.7,51.0,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI012,창덕궁·종묘,37.57964694739535,126.99099980677127,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8500,9000,0.6,27.8,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI013,가산디지털단지역,37.4803959660982,126.882661758356,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,0.3,17.6,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI014,강남역,37.49808633653005,127.02800140627488,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,58000,60000,0.9,34.3,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI015,건대입구역,37.54040751726388,127.06920291650829,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,30000,32000,1.6,40.0,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI016,고덕역,37.55504766830918,127.15416500963447,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,0.5,16.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI017,고속터미널역,37.50454885557265,127.00512100872538,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,28000,30000,0.1,1.7,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI018,교대역,37.4927431676548,127.013867969161,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,14000,16000,2.6,45.4,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI019,구로디지털단지역,37.4852605752505,126.901473080039,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,9000,9500,0.2,21.7,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
