source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score,theme_ids,theme_detail,origin,end_date,popularity_src,region_group
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),한이제 오보에 독주회,2026-10-02 ~ 2026-10-02,만 6세 이상,"서울 강북구 월계로 173 (번동) | 위도:37.6214312, 경도:127.0406246","전석 20,000원","[PROGRAM] Charles Koechlin (1867-1950) 14 Pièces pour Hautbois et Piano, Op. 179 No. 1, Andante con moto, quasi allegretto moderato No. 2, Allegretto, pas vite No. 3, Andante No. 4, Allegro, assez animé, gai, solide No. 5, Très doux, presque adagio Francis Poulenc (1899-1963) Sonata for Oboe and Pia…",https://www.sejongpac.or.kr/dfac/dfacPerformance/dfacPerformance/performTicket.do?performIdx=37617&menuNo=1200007,"genre=서양음악(클래식);venue=꿈의숲아트센터 (콘서트홀);runtime=1시간 30분;cast=한이제, 김하은;producer=영음예술기획;state=공연예정;showtime=금요일(19：30);seats=584;tel=02-2289-5401;parking:1.0;cafe:1.0;restaurant:1.0;store:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(기타):1.0,,,concert,concert,kopis,2026-10-02,,capital
KOPIS 공연예술통합전산망 | 연극,연극,파편 [인천],2026-10-02 ~ 2026-10-03,만 11세 이상,"인천 남구 매소홀로 618 (문학동) | 위도:37.4374104, 경도:126.69273420000002","전석 1,000원",연극 · 문학시어터 (문학시어터) · 러닝타임 1시간 10분,http://playticket.co.kr/nav/detail.html?idx=4565,"genre=연극;venue=문학시어터 (문학시어터);runtime=1시간 10분;cast=손인찬, 도경국, 김태은, 이현신, 두창혁, 박용완, 손정림 등;producer=극단 피어나;state=공연예정;showtime=금요일(19：30), 토요일(15：00,18：00);seats=111;tel=032-433-3777;parking:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;공공(기타):1.0,,,concert,concert,kopis,2026-10-03,,capital
KOPIS 공연예술통합전산망 | 연극,연극,"제16회 강동예술인페스티벌, 강동연극협회: 사흘만 볼 수 있다면",2026-09-20 ~ 2026-09-20,만 5세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,연극 · 강동아트센터 (소극장 드림) · 러닝타임 1시간 30분,https://www.gdfac.or.kr/product/performance/258489,"genre=연극;venue=강동아트센터 (소극장 드림);runtime=1시간 30분;cast=전영주, 박새하, 박보결, 김복남, 임수경, 민지혁, 최임경 등;producer=루씨드드림 문화예술협동조합;state=공연예정;showtime=일요일(18：00);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,,concert,concert,kopis,2026-09-20,,capital
KOPIS 공연예술통합전산망 | 복합,복합,"제16회 강동예술인페스티벌, 강동무용협회: 봄, 여름, 가을, 겨울 그리고 사랑",2026-09-19 ~ 2026-09-19,만 5세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,복합 · 강동아트센터 (대극장 한강) · 러닝타임 1시간,https://www.gdfac.or.kr/product/performance/258487,genre=복합;venue=강동아트센터 (대극장 한강);runtime=1시간;state=공연예정;showtime=토요일(17：00);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,mixed:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,,concert,concert,kopis,2026-09-19,,capital
KOPIS 공연예술통합전산망 | 한국음악(국악),한국음악(국악),"제16회 강동예술인페스티벌, 강동국악협회: 전통과 현대사이",2026-09-13 ~ 2026-09-13,만 3세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,"[공연소개] 본 공연은 강동예술인페스티벌 강동국악협회 정기공연입니다. 전통과 현대를 아우르는 국악의 멋을 공연으로 표현한 작품들로 이루어져 있으며 어린아이부터 어르신까지 프로,아마추어가 함께 준비하여 강동구민들 뿐만 아니라 모두가 흥겹게 즐길 수 있도록 준비하였습니다.",https://www.gdfac.or.kr/product/performance/258481,genre=한국음악(국악);venue=강동아트센터 (소극장 드림);runtime=1시간 10분;state=공연예정;showtime=일요일(17：00);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,traditional:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,,concert,concert,kopis,2026-09-13,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"일단 달려봅니다, 그리고 윤성혁과 급한 노새와 채무자들",2026-10-04 ~ 2026-10-04,전체 관람가,"서울 마포구 독막로8길 7 (합정동) | 위도:37.547514, 경도:126.918374","현장판매 35,000원, 사전예약 30,000원",대중음악 · 우무지 (우무지) · 러닝타임 2시간 20분,https://ticket.melon.com/performance/index.htm?prodId=213861,"genre=대중음악;venue=우무지 (우무지);runtime=2시간 20분;cast=윤성혁, 최종빈, 박니하, 문종원, 류용운, 조휴연, 최양업 등;producer=(사) 코드(우무지);state=공연예정;showtime=일요일(17：00);seats=100;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-04,,capital
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"제16회 강동예술인페스티벌, 강동구립청소년교향악단 창단 30주년 연주회: New Horizons",2026-09-20 ~ 2026-09-20,만 4세 이상,"서울 강동구 동남로 870 (상일동) | 위도:37.5512621, 경도:127.15761910000003",전석무료,[PROGRAM] M.Glinka Overture “Ruslan and Ludmila” A.Dvorak Symphony No. 9 “From the New World”,https://www.gdfac.or.kr/product/performance/258479,genre=서양음악(클래식);venue=강동아트센터 (대극장 한강);runtime=1시간 40분;cast=김지혜 등;state=공연예정;showtime=일요일(18：30);festival:1.0;seats=3240;tel=02-440-0500;parking:1.0;cafe:1.0;playroom:1.0;elevator:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;ramp:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(문예회관):1.0,,,concert,concert,kopis,2026-09-20,,capital
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"온: 콘서트, 코르타도의 Dandelion Parade",2026-10-03 ~ 2026-10-03,만 7세 이상,"서울 송파구 송파대로37길 50 (석촌동) | 위도:37.5002447, 경도:127.1066645","전석 25,000원",서양음악(클래식) · 온쉼표 (온쉼표) · 러닝타임 1시간 10분,https://booking.naver.com/booking/12/bizes/1246855,"genre=서양음악(클래식);venue=온쉼표 (온쉼표);runtime=1시간 10분;cast=윤예지, 신주연, 이용운;state=공연예정;showtime=토요일(17：00);seats=0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;기타(비공연장):1.0,,,concert,concert,kopis,2026-10-03,,capital
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),오르페우스 오페라단 10주년 기념 오페라 갈라 콘서트,2026-09-28 ~ 2026-09-28,만 6세 이상,"서울 종로구 세종대로 175 (세종로) | 위도:37.5725254, 경도:126.97564290000003","VIP석 50,000원, R석 30,000원, S석 20,000원","[PROGRAM] 1부 Opera _ Celeste Aida / Ten 전병운 Opera _ La ci darem la mano / Bar 션치안루이, Sop 엄원영 Opera _ Song to the moon / Sop 김선화 Opera _ O Paradiso / Ten 신희영 Opera _ Barcarolle / Sop 황신애, M.Sop 기수정 Opera _ Ebben? Ne andro lontana / Sop 노황미 Opera _ È la solita storia del pastore / Ten 김민수 Opera _ Lipp…",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=37608&menuNo=200320,"genre=서양음악(클래식);venue=세종문화회관 (세종체임버홀);runtime=2시간 5분;cast=노황미, 맹연선, 엄원영, 전수빈, 정하라, 황신애, 기수정 등;producer=오르페우스 오페라단;state=공연예정;showtime=월요일(19：30);seats=5372;tel=02-399-1000;parking:1.0;barrier_free_parking:1.0;barrier_free_restroom:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;공공(문예회관):1.0,,,concert,concert,kopis,2026-09-28,,capital
KOPIS 공연예술통합전산망 | 연극,연극,"포천시립극단 기획공연, 고전희곡으로 보는 세계여행, 스페인: 돈 키호테 데 라만차 [포천]",2026-09-11 ~ 2026-09-12,만 4세 이상,"경기 포천시 군내면 청성로 111 | 위도:37.8958535, 경도:127.21221459999992",전석무료,"[공연소개] 고전희곡으로 보는 세계여행, 세번째 여행지 [스페인]으로 떠납니다. 스페인의 작가 미겔 데 세르반테스의 명작 를 희곡으로 각색하여 온가족이 즐길 수 있도록 쉽고 재미있게 연극공연으로 꾸몄습니다. 세상 그 누구보다 자유로웠고 원대한 꿈을 가졌던 편력기사 돈 키호테의 우당탕탕, 포복절도 모험속으로 함께 떠나요.",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012284,"genre=연극;venue=포천반월아트홀 (소극장);runtime=1시간 10분;state=공연중;showtime=금요일(19：30), 토요일(15：00);seats=1162;tel=031-540-6213;parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;공공(문예회관):1.0,,,concert,concert,kopis,2026-09-12,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,JX TOUR CONCERT: CORE [인천],2026-10-09 ~ 2026-10-11,만 7세 이상,"인천 중구 공항문화로 127 (운서동) | 위도:37.4655301, 경도:126.3891177","VIP석 198,000원, R석 165,000원",대중음악 · 인스파이어 엔터테인먼트 리조트 (아레나) · 러닝타임 2시간 30분,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012479,"genre=대중음악;venue=인스파이어 엔터테인먼트 리조트 (아레나);runtime=2시간 30분;cast=김재중, 김준수;producer=라우드펀투게더(Loud Fun Together), 라우드펀투게더(Loud Fun Together);state=공연예정;showtime=HOL(18：00), 토요일 ~ 일요일(17：00);seats=18483;boxoffice_rank:2;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,97.9,concert,concert,kopis,2026-10-11,kopis_boxoffice,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,인생은 오디션 TOP 5 콘서트 [서울],2026-10-09 ~ 2026-10-10,만 7세 이상,"서울 종로구 동숭길 100 | 위도:37.5820171, 경도:127.00353629999995","R석 121,000원, S석 110,000원",대중음악 · NOL 씨어터 대학로 (구. 대학로뮤지컬센터) (우리카드홀 ) · 러닝타임 2시간,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26013199,"genre=대중음악;venue=NOL 씨어터 대학로 (구. 대학로뮤지컬센터) (우리카드홀 );runtime=2시간;cast=지영일, 박민수, 김중연, 최대성, 이진호;producer=(주)다날스테이지;state=공연예정;showtime=금요일(13：00,18：00), 토요일(13：00,18：00);daehakro:1.0;seats=2693;parking:1.0;cafe:1.0;restaurant:1.0;barrier_free_parking:1.0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;daehakro:1.0;민간(대학로):1.0,,,concert,concert,kopis,2026-10-10,,capital
KOPIS 공연예술통합전산망 | 서양음악(클래식),서양음악(클래식),"앳모스피어 뮤직 시리즈, AUTUMN LIGHT",2026-10-10 ~ 2026-10-10,전체 관람가,"경기 남양주시 수동면 축령산로165번길 44 | 위도:37.754607, 경도:127.313159","전석 70,000원",서양음악(클래식) · 앳모스피어 뮤직홀 (앳모스피어 뮤직홀) · 러닝타임 1시간 10분,https://booking.naver.com/booking/12/bizes/1443938,"genre=서양음악(클래식);venue=앳모스피어 뮤직홀 (앳모스피어 뮤직홀);runtime=1시간 10분;cast=송영민, 이신규;producer=에이엠피(AMP) 앳모스피어(Atmosphere);state=공연예정;showtime=토요일(13：00);seats=0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,classical:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-10,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"먼데이프로젝트 시즌9: Stardust, 적란운 X love is cycle",2026-09-28 ~ 2026-09-28,전체 관람가,"서울 서대문구 신촌역로 13 (대현동) | 위도:37.557804, 경도:126.942583","전석 33,000원",대중음악 · 아지토 라이브 홀 (라이브 홀 ) · 러닝타임 1시간 50분,https://ticket.melon.com/performance/index.htm?prodId=213856,genre=대중음악;venue=아지토 라이브 홀 (라이브 홀 );runtime=1시간 50분;producer=(주)엔터크라우드;state=공연예정;showtime=월요일(20：00);seats=0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-09-28,,capital
KOPIS 공연예술통합전산망 | 연극,연극,탠덤,2026-10-01 ~ 2026-10-11,만 14세 이상,"서울 성북구 성북로5길 9-3 (성북동1가) | 위도:37.5889086, 경도:127.00463660000003","전석 39,000원",연극 · 여행자극장 (여행자극장) · 러닝타임 1시간 30분,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GoodsCode=26012896,"genre=연극;venue=여행자극장 (여행자극장);runtime=1시간 30분;cast=김기주, 최이레, 백익남, 김지혜, 이호준, 여정현;producer=프로젝트그룹 낙타, 프로젝트그룹 낙타;state=공연예정;showtime=화요일 ~ 금요일(19：30), 토요일 ~ 일요일(16：00), HOL(16：00);daehakro:1.0;seats=100;tel=070-7918-9077;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,theater:1.0;performance:1.0;indoor:1.0;daehakro:1.0;민간(대학로):1.0,,,concert,concert,kopis,2026-10-11,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,"먼데이프로젝트 시즌9, 우예린 단독 콘서트: 화음 (花音) Ⅱ",2026-10-01 ~ 2026-10-01,전체 관람가,"서울 마포구 잔다리로 46 (서교동) | 위도:37.5524309, 경도:126.9188172","전석 66,000원",대중음악 · Vel.R 벨르 (구. 벨로주 [홍대]) (Vel.R 벨르 (구. 벨로주 [홍대])) · 러닝타임 1시간 30분,https://ticket.melon.com/performance/index.htm?prodId=213842,genre=대중음악;venue=Vel.R 벨르 (구. 벨로주 [홍대]) (Vel.R 벨르 (구. 벨로주 [홍대]));runtime=1시간 30분;cast=우예린;producer=(주)엔터크라우드;state=공연예정;showtime=목요일(20：00);seats=123;cafe:1.0;barrier_free_parking:1.0;verified_at=2026-09-11 22:41:11,2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;민간(대학로 외):1.0,,,concert,concert,kopis,2026-10-01,,capital
KOPIS 공연예술통합전산망 | 대중음악,대중음악,OPCD STAGE: Universe (오피시디 스테이지),2026-10-10 ~ 2026-10-10,만 5세 이상,"서울 도봉구 마들로11길 77 (창동) | 위도:37.6532085, 경도:127.0476838","전석 10,000원",대중음악 · 창동역 (동측 공영주차장) · 러닝타임 8시간,https://ticket.melon.com/performance/index.htm?prodId=213860,"genre=대중음악;venue=창동역 (동측 공영주차장);runtime=8시간;producer=OPCD(오픈창동), 도봉구청;state=공연예정;showtime=토요일(12：00);festival:1.0;seats=0;verified_at=2026-09-11 22:41:11",2026-09-11 22:28:45,popmusic:1.0;performance:1.0;indoor:1.0;festival:1.0;공공(기타):1.0,,,concert,concert,kopis,2026-10-10,,capital
