source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score,recommend_reason
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페종로구혜화동점,상시,영유아 및 어린이 (0세~7세),"서울 종로구 | 위도:37.5904592017787, 경도:126.998799800656","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페종로구숭인1동점,상시,영유아 및 어린이 (0세~7세),"서울 종로구 | 위도:37.5794127580845, 경도:127.016655399712","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페을지로점,상시,영유아 및 어린이 (0세~7세),"서울 종로구 | 위도:37.56774604826455, 경도:127.00053426606952","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,옥인육아어울림센터육아종합지원센터,상시,영유아 및 어린이 (0세~7세),"서울 종로구 | 위도:37.5814541344936, 경도:126.968685363643","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,어린이행복지원센터육아종합지원센터,상시,영유아 및 어린이 (0세~7세),서울 종로구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,종로육아종합지원센터 안심택배함부속건물,상시,영유아 및 어린이 (0세~7세),서울 종로구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,종로구 육아종합지원센터,상시,영유아 및 어린이 (0세~7세),"서울 종로구 | 위도:37.5834422550717, 경도:126.99779002905","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,월곡육아종합지원센터,상시,영유아 및 어린이 (0세~7세),"서울 종로구 | 위도:35.1522121887775, 경도:126.842217041046","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;종로구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,🧸 영유아 안심 실내 놀이기구와 부모 쉼터가 잘 갖춰진 키즈 파라다이스
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페장충점,상시,영유아 및 어린이 (0세~7세),"서울 중구 | 위도:37.5606548346433, 경도:127.009396306137","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페신당점,상시,영유아 및 어린이 (0세~7세),"서울 중구 | 위도:37.5620652844658, 경도:127.014455779831","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페청파동점,상시,영유아 및 어린이 (0세~7세),"서울 중구 | 위도:37.5482262705207, 경도:126.965365504008","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페노리몽땅 을지로점,상시,영유아 및 어린이 (0세~7세),"서울 중구 | 위도:37.56774604826455, 경도:127.00053426606952","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울형키즈카페노리몽땅 신당점,상시,영유아 및 어린이 (0세~7세),"서울 중구 | 위도:37.5620652844658, 경도:127.014455779831","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,맘스하트카페,상시,영유아 및 어린이 (0세~7세),"서울 중구 | 위도:37.5014543092038, 경도:126.946055206434","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,🧸 영유아 안심 실내 놀이기구와 부모 쉼터가 잘 갖춰진 키즈 파라다이스
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울중구육아종합지원센터jgkids.or.kr,상시,영유아 및 어린이 (0세~7세),서울 중구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,🧸 영유아 안심 실내 놀이기구와 부모 쉼터가 잘 갖춰진 키즈 파라다이스
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울중구육아종합지원센터기업소개,상시,영유아 및 어린이 (0세~7세),서울 중구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,🧸 영유아 안심 실내 놀이기구와 부모 쉼터가 잘 갖춰진 키즈 파라다이스
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,누리뜰 공동육아방육아종합지원센터,상시,영유아 및 어린이 (0세~7세),서울 중구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,꿈자람공동육아방 용두점육아종합지원센터,상시,영유아 및 어린이 (0세~7세),서울 중구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,시간제보육실 도화점육아종합지원센터,상시,영유아 및 어린이 (0세~7세),서울 중구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울중구육아종합지원센터,상시,영유아 및 어린이 (0세~7세),"서울 중구 | 위도:37.561284974038536, 경도:127.01483705303858","아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;parking:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,
서울시 우리동네키즈OK / 공공 포털,공공키즈카페,서울중구육아종합지원센터(201,상시,영유아 및 어린이 (0세~7세),서울 중구,"아동 1,000~3,000원 / 보호자 무료 (공공 가성비)",,https://icare.seoul.go.kr,family:1.0;play:1.0;공공키즈카페;서울형키즈카페;중구,2026-08-22 20:46:47,toddler:1.0;indoor:1.0;public:1.0,,,🧸 영유아 안심 실내 놀이기구와 부모 쉼터가 잘 갖춰진 키즈 파라다이스
