source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score,recommend_reason
서울시 문화행사,콘서트·공연,"2026 카즈미 타테이시 트리오 내한공연-크리스마스, 재즈를 만나다-(서울)",2026-12-24 ~ 2026-12-24,성인 (개인 관람 적합),강동아트센터 대극장 한강,상세 페이지 참조,"강동아트센터 대극장 한강에서 열리는 콘서트 행사 [2026 카즈미 타테이시 트리오 내한공연-크리스마스, 재즈를 만나다-(서울)]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.",https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158770&menuNo=200008,single:0.85;couple:0.7;family:0.3;콘서트;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,4,85,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
서울시 문화행사,콘서트·공연,"2026 카즈미 타테이시 트리오 내한공연-지브리, 재즈를 만나다-(서울)",2026-12-22 ~ 2026-12-22,성인 (개인 관람 적합),영등포아트홀,상세 페이지 참조,"영등포아트홀에서 열리는 콘서트 행사 [2026 카즈미 타테이시 트리오 내한공연-지브리, 재즈를 만나다-(서울)]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.",https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158691&menuNo=200008,single:0.85;couple:0.7;family:0.3;콘서트;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,4,67,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
서울시 문화행사,전시·미술관,파인캐릭터 2026 (FineCharacter 2026),2026-11-27 ~ 2026-11-29,성인 (개인 관람 적합),동대문디자인플라자(DDP) 쇼룸 1층 (서울 중구 을지로 281),상세 페이지 참조,동대문디자인플라자(DDP) 쇼룸 1층 (서울 중구 을지로 281)에서 열리는 전시/미술 행사 [파인캐릭터 2026 (FineCharacter 2026)]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158731&menuNo=200009,single:0.85;couple:0.7;family:0.3;전시/미술;서울시문화행사,2026-08-23 19:51:20,exhibition:1.0;quiet:0.8;indoor:0.9,4,77,🖼️ 조용히 몰입할 수 있는 전시 콘텐츠로 나 홀로 관람 최적
서울시 문화행사,콘서트·공연,[마포문화재단] 제11회 M 클래식 축제 [뮤라벨 콘서트],2026-10-28 ~ 2026-10-28,성인 (개인 관람 적합),마포아트센터 플레이맥,상세 페이지 참조,마포아트센터 플레이맥에서 열리는 클래식 행사 [[마포문화재단] 제11회 M 클래식 축제 [뮤라벨 콘서트]]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158566&menuNo=200008,single:0.85;couple:0.7;family:0.3;클래식;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,4,76,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
서울시 문화행사,전시·미술관,[꿈의숲아트센터] 꿈의숲 마티네 콘서트 [벨에포크 아트&뮤직] 시리즈3,2026-10-28 ~ 2026-10-28,성인 (개인 관람 적합),북서울꿈의숲 상상톡톡미술관,상세 페이지 참조,북서울꿈의숲 상상톡톡미술관에서 열리는 콘서트 행사 [[꿈의숲아트센터] 꿈의숲 마티네 콘서트 [벨에포크 아트&뮤직] 시리즈3]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158447&menuNo=200008,single:0.85;couple:0.7;family:0.3;콘서트;서울시문화행사,2026-08-23 19:51:20,exhibition:1.0;quiet:0.8;indoor:0.9,2,57,🖼️ 조용히 몰입할 수 있는 전시 콘텐츠로 나 홀로 관람 최적
서울시 문화행사,콘서트·공연,[마포문화재단] 제11회 M 클래식 축제 [전수진의 피아니즘],2026-10-27 ~ 2026-10-27,성인 (개인 관람 적합),마포아트센터 플레이맥,상세 페이지 참조,마포아트센터 플레이맥에서 열리는 클래식 행사 [[마포문화재단] 제11회 M 클래식 축제 [전수진의 피아니즘]]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158565&menuNo=200008,single:0.85;couple:0.7;family:0.3;클래식;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,4,79,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
서울시 문화행사,콘서트·공연,[마포문화재단] 제11회 M 클래식 축제 [김도현x이수빈 듀오 리사이틀],2026-10-22 ~ 2026-10-22,성인 (개인 관람 적합),마포아트센터 아트홀맥,상세 페이지 참조,마포아트센터 아트홀맥에서 열리는 클래식 행사 [[마포문화재단] 제11회 M 클래식 축제 [김도현x이수빈 듀오 리사이틀]]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158564&menuNo=200008,single:0.85;couple:0.7;family:0.3;클래식;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,4,85,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
서울시 문화행사,콘서트·공연,[마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 02,2026-10-17 ~ 2026-10-17,성인 (개인 관람 적합),마포아트센터 아트홀맥,상세 페이지 참조,마포아트센터 아트홀맥에서 열리는 콘서트 행사 [[마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 02]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158484&menuNo=200008,single:0.85;couple:0.7;family:0.3;콘서트;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,2,71,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
서울시 문화행사,콘서트·공연,[마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 01,2026-10-16 ~ 2026-10-16,성인 (개인 관람 적합),마포아트센터 아트홀맥,상세 페이지 참조,마포아트센터 아트홀맥에서 열리는 콘서트 행사 [[마포문화재단] 2026 [인디스커버리 : FESTA] TRACK 01]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=158483&menuNo=200008,single:0.85;couple:0.7;family:0.3;콘서트;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,2,72,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
서울시 문화행사,콘서트·공연,[영등포문화재단] 마티네콘서트 With 금난새 #3.베버,2026-10-15 ~ 2026-10-15,성인 (개인 관람 적합),영등포아트홀,상세 페이지 참조,영등포아트홀에서 열리는 클래식 행사 [[영등포문화재단] 마티네콘서트 With 금난새 #3.베버]. 혼자 관람하기 좋은 몰입형 콘텐츠입니다.,https://culture.seoul.go.kr/culture/culture/cultureEvent/view.do?cultcode=157909&menuNo=200008,single:0.85;couple:0.7;family:0.3;클래식;서울시문화행사,2026-08-23 19:51:20,concert:1.0;immersive:0.9;indoor:0.7,4,64,🎵 몰입감 있는 공연으로 혼자 즐기기 좋은 라이브 콘텐츠
