source_site,category,place_or_event_name,period,target_age,region,fee_info,description,booking_url,ai_tags,crawled_at,theme_tags,congestion_score,popularity_score
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,새우타워 전망대,,전연령,"인천광역시 남동구 아암대로 1550 | 위도:37.3939607858724, 경도:126.733700196092",,"새우타워 전망대는 새우 모양을 본뜬 조형 전망대이다. 새우는 소래포구의 대표 특산품으로 새우타워는 새우 머리 부분과 긴 수염까지 그대로 재현하였다. 멀리서 보아도 시선을 잡아끌어 소래포구의 새로운 랜드마크가 되었다. 야간에는 형형색색의 LED 조명이 은은하게 빛을 내며 아름다운 야경을 선사한다. 타워 앞으로는 바닥 조형물과 카페, 쉼터, 산책로 등 다양한 즐길거리도 가득하다.",https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a6012026-0a30-4bc6-b4ee-673c31145d5a,관광지:1.0;야경_명소:1.0;이색관광지:1.0;인천:1.0;전망대:1.0;source_tag_야경_명소:1.0;con_like:7;con_read:2785;con_share:3;use_time=- 평일 09시 00~17시 30 - 주말 09시 00~18시 00;rest_date=연중무휴,2026-09-11 22:03:25,문화관광:1.0;랜드마크관광:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,앞산 해넘이전망대,,전연령,"대구광역시 남구 대명동 | 위도:35.8321627195868, 경도:128.56549884511",,"앞산전망대는 대구 시가지를 한눈에 조망할 수 있는 대표적인 관광명소이다. 전망대의 건축물은 앞산빨래터공원의 역사와 상징성을 담아 '빨래를 짜는 모습'을 형상화하였으며, 도시와 자연, 역사와 미래를 함께 엮어낸 성공적인 건축물로 평가받고 있다. 나아가 단순한 관광지를 넘어, 대구에서 살아가는 시민들에게 도시의 정체성과 가치를 전하는 소중한 배움터의 역할도 겸하고 있다. 가는 방법은 큰골에서 케이블카를 이용해 전망대에 이르는 방법(약 15분 소요)과 안지랑골에서 등산로를 따라 전망대까지 걸어 올라가는 방법(약 1시간 소요)이 있다.",https://tour.daegu.go.kr/index.do?menu_id=00002942&menu_link=/front/tour/tourMapsView.do?tourId=tour_00004732,5월_가족여행지:1.0;가볼래터:1.0;경치여행:1.0;경치좋은곳:1.0;관광지:1.0;숙박대전_가볼만한곳:1.0;숙박대전_추천기사:1.0;앞산빨래터공원:1.0;앞산해넘이전망대:1.0;야경_명소:1.0;여행구독:1.0;일몰명소:1.0;일몰여행:1.0;자연환경:1.0;전망대:1.0;휴식공간:1.0;source_tag_야경_명소:1.0;con_like:58;con_read:9662;con_share:22;use_time=09시 00~22시 00;rest_date=연중무휴,2026-09-11 22:03:25,문화관광:1.0;랜드마크관광:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,부천자연생태공원,,전연령,"경기도 부천시 원미구 길주로 660 (춘의동) | 위도:37.505122763967, 경도:126.815762806235",,"부천자연생태공원은 부천식물원, 자연생태박물관, 농경유물전시관, 부천무릉도원수목원 등의 시설이 함께 모여 있는 자연생태공원으로 서부수도권을 대표하는 어린이 학습장이자 시민 휴식처이다. 2000년 자연생태박물관에 이어 2006년에 부천식물원을 개원했고, 2012년에는 부천무릉도원수목원이 문을 열었다. 각각의 시설에서는 연령대에 맞는 다양한 체험프로그램도 운영하고 있으며, 예약은 홈페이지를 통해 할 수 있다. 부천자연생태공원은 밤이 되면 부천 루미나래라는 이름의 야간 경관을 도심 속 환상적인 빛의 정원으로 변화시키는 야간 감성 조명 축제…",http://ecopark.bucheon.go.kr/site/main/index149,"가볼래터:1.0;가족과함께:1.0;관광지:1.0;미디어아트:1.0;부천여행:1.0;부천자연생태공원:1.0;생태공원:1.0;아이와함께:1.0;야경_명소:1.0;여행구독:1.0;주말나들이:1.0;source_tag_야경_명소:1.0;con_like:8;con_read:1186;con_share:5;use_time=- 3월~10월 09시 30~18시 00 (입장 마감 17시 30) - 11월~2월 09시 30~17시 00 (입장 마감 16시 30) - 3월~10월 19시 40~23시 30 - 11월~2월 19시 00~23시 0;rest_date=매주 월요일 (단, 월요일이 공휴일인 경우 개관하며 다음날 휴관) / 1월 1일 / 설·추석 당일",2026-09-11 22:03:25,문화관광:1.0;도시공원:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,청계천,,전연령,"서울특별시 종로구 창신동 | 위도:37.5696470252885, 경도:127.005074320049",,"청계천은 종로구와 중구 사이를 가르는 10.84㎞의 하천이다. 2003년 7월부터 2005년 9월까지 복개한 청계천로와 삼일로 주변 5.84㎞ 구간을 복원하고 총 22개의 다리를 설치하는 등 시민들의 쉼터로 탈바꿈하기 위한 대대적인 공사를 진행하였다. 청계광장을 중심으로 각종 문화행사 등이 열리고 있으며, 누구나 편하게 쉬어갈 수 있는 도심 속 휴식처의 역할을 하고 있다.",https://www.sisul.or.kr/open_content/cheonggye/,"가족여행:1.0;관광지:1.0;나들이:1.0;데이트코스:1.0;드라이브여행:1.0;산책길:1.0;산책하기:1.0;산책하기좋은곳:1.0;수도권:1.0;아이와함께:1.0;야간관광100선:1.0;야경_명소:1.0;연인과함께:1.0;청계천:1.0;체험학습:1.0;친구와함께:1.0;힐링:1.0;source_tag_야경_명소:1.0;con_like:90;con_read:20891;con_share:24;use_time=상시 개방 ※ 우천 시, 안전상의 이유로 출입통제될 수 있음;rest_date=연중무휴",2026-09-11 22:03:25,문화관광:1.0;도시공원:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,광안리해수욕장,,전연령,"부산광역시 수영구 광안해변로 219 (광안동) | 위도:35.1531932736837, 경도:129.118976093583",,"광안리해수욕장은 부산광역시 수영구에 위치한 대표적인 해변으로, 맑고 푸른 바다와 고운 백사장이 어우러져 사계절 내내 많은 관광객이 찾는 명소이다. 해변 너머로 펼쳐지는 광안대교는 낮에는 시원한 바다 풍경을, 밤에는 화려한 조명과 함께 아름다운 야경을 선사해 부산을 대표하는 전망 명소로 손꼽힌다. 여름철에는 해수욕은 물론 서핑, 패들보드 등 다양한 해양 레저를 즐길 수 있으며, 해변을 따라 카페와 맛집이 밀집해 있어 여유로운 휴식과 미식을 함께 즐기기에 좋다. 또한 각종 공연과 축제, 드론쇼 등 다채로운 문화행사가 열려 볼거리를 더하…",http://www.suyeong.go.kr/tour/index.suyeong?menuCd=DOM_000001102001001000&link=success&cpath=%2Ftour,25_26한국관광100선:1.0;가족여행:1.0;경상권:1.0;관광지:1.0;광안리해수욕장:1.0;바다풍경:1.0;부산_콘서트_함께가기좋은관광지:1.0;부산여행:1.0;아이와함께:1.0;야경_명소:1.0;여름방학가볼만한곳:1.0;여름여행:1.0;여름휴가:1.0;연인·친구:1.0;연인과함께:1.0;자연:1.0;친구와함께:1.0;피서여행:1.0;한국관광100선:1.0;source_tag_야경_명소:1.0;source_tag_연인·친구:1.0;con_like:307;con_read:24119;con_share:49;use_time=상시 개방;rest_date=연중무휴,2026-09-11 22:03:25,자연관광:1.0;자연경관(하천‧해양):1.0;night_view:1.0;date_spot:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,예당호 출렁다리(음악분수),,전연령,"충청남도 예산군 응봉면 예당관광로 161 | 위도:36.6395229490074, 경도:126.802322618329",,"우리나라에서 가장 큰 저수지인 예당호에 위치한 예당호 출렁다리는 예산군의 새로운 대표 관광지 중 하나로 402m의 길이를 자랑하고 있다. 하늘로 곧게 솟은 64m 주탑을 중심으로 양옆으로 펼쳐진 케이블은 아름다운 자태의 거대한 황새가 길고 흰 날개를 펼쳐 호수 위를 비상하듯 환상적인 풍경을 자아낸다. 음악 분수는 길이 96m, 폭 16m, 최대 분사 높이 110m에 다다르는 부력식 분수이며 그러데이션 기법을 적용한 형형색색 LED 불빛을 이용한 공연이 몽환적인 분위기를 자아낸다. 출렁다리 주변에는 야영장, 공연장, 족구장 등 각종…",http://www.yesan.go.kr/bridge.do,"21_22한국관광100선:1.0;25_26한국관광100선:1.0;가족과밤밤곡곡:1.0;관광지:1.0;물따라밤밤곡곡:1.0;반려동물:1.0;반려동물동반여행지:1.0;액티브시니어:1.0;야간관광100선:1.0;야경_명소:1.0;예당호:1.0;예당호관광지:1.0;예당호출렁다리:1.0;추석연휴_나들이:1.0;출렁다리:1.0;충남가볼만한곳:1.0;충남권:1.0;충청권:1.0;한국관광100선:1.0;source_tag_야경_명소:1.0;con_like:57;con_read:46636;con_share:192;use_time=[출렁다리] - 하절기(3월 1일~12월 첫째 주 일요일) 09시 00~22시 00 - 동절기(12월 둘째 주 화요일~2월 말일) 09시 00~20시 00 [음악분수] - 하절기(5월~9월) 평일 11시 00 / 1;rest_date=[출렁다리] 매월 첫째주 월요일 (단, 월요일이 공휴일인 경우 그 다음 평일 휴무) [음악분수] 매주 월요일",2026-09-11 22:03:25,문화관광:1.0;랜드마크관광:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,용양봉저정공원,,전연령,"서울특별시 동작구 본동 | 위도:37.5118, 경도:126.9585",,"용양봉저정은 조선 22대 정조가 아버지 사도세자가 묻힌 수원 화산의 현륭원을 찾을 때 잠시 쉬던 정자이다. 효심이 지극했던 정조는 사도세자의 묘가 있는 현륭원을 자주 찾았다고 한다. 그때마다 한강에 배다리를 임시로 만들어 건넜는데, 시간이 걸렸기 때문에 잠시 쉴 자리가 필요하여 이 정자를 지었다고 전한다. 1972년 05월 25일에 서울특별시 유형문화유산으로 지정되었다. 용양봉저정공원은 용양봉저정 주변을 공원으로 조성한 공원으로, 한강 및 서울 시내의 아름다운 경관을 주야간 조망할 수 있는 명소이다. 하늘전망대, 자연놀이터, 전망포…",https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b3ceb742-f249-463e-aa0d-ca6e9ffcea1d,가족과함께:1.0;관광지:1.0;남녀노소:1.0;산책하기:1.0;산책하기좋은곳:1.0;서울경관:1.0;아이와함께:1.0;야경_명소:1.0;휴식공간:1.0;휴식하기좋은곳:1.0;힐링산책:1.0;source_tag_야경_명소:1.0;con_like:15;con_read:2898;con_share:9;use_time=상시 개방;rest_date=연중무휴,2026-09-11 22:03:25,문화관광:1.0;도시공원:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,밀양 영남루,,전연령,"경상남도 밀양시 중앙로 324 (내일동) | 위도:35.491525, 경도:128.75507",,"밀양 남천강 옆 아동산에 위치한 영남루는 국보로 진주의 촉석루, 평양의 부벽루와 함께 우리나라의 3대 누각으로 손꼽힌다. 동서 5간, 남북 4간의 팔작지붕에다 좌우로 2개의 딸린 누각을 거느린 이 거대한 2층 누각은 신라의 5대 명사 중의 하나였던 영남사의 부속건물인 소루였으나, 영남사가 폐사되고 난 이후 고려 공민왕 때 그전부터 있던 누각을 철거하고 규모를 크게 하여 세웠다는 기록이 있으며, 현재의 건물은 1884년에 밀양부사 이인재가 다시 세운 것이다. 부속건물로 능파각, 침류각, 사주문, 일주문, 천진궁이 있으며 영남루 누각에…",https://www.miryang.go.kr/tur/EgovTourDetail.do?nmtIdx=46&mnNo=10302120000,가족여행:1.0;경상권:1.0;관광지:1.0;밀양영남루:1.0;보물:1.0;야경_명소:1.0;역사:1.0;역사를품은곳:1.0;역사속으로:1.0;역사이야기:1.0;역사탐험:1.0;역사투어:1.0;우리나라3대누각:1.0;자연환경:1.0;추석연휴_나들이:1.0;추석연휴_나들이:1.0;source_tag_야경_명소:1.0;con_like:77;con_read:19810;con_share:19;use_time=09시 00~18시 00;rest_date=연중무휴,2026-09-11 22:03:25,역사관광:1.0;역사유적지:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,광한루원,,전연령,"전북특별자치도 남원시 요천로 1447 | 위도:35.403321, 경도:127.379445",,"광한루원은 전라북도 남원시에 있는 조선 전기에 조성된 광한루의 정원이다. 남원역 근처의 시내에 춘향과 이도령이 만났다는 광한루가 있고, 그 광한루가 있는 정원을 통칭하여 광한루원이라고 한다. 누원의 북쪽으로는 교룡산이 우뚝 서 있고, 남쪽에는 금괴같이 보배롭다는 금암봉이 있으며 멀리 지리산이 보인다. 광한루원은 은하수를 상징하는 연못가에 월궁을 상징하는 광한루와 지상의 낙원인 삼신산이 함께 어울려 있는 아득한 우주관을 표현한 한국 제일의 누원이며, 경회루, 촉석루, 부벽루와 함께 우리나라 4대 누각에 속한다. 광한루원 안에는 광한루…",https://www.namwon.go.kr/tour/index.do?menuUid=ff8080818e5f3f48018e5fd4977e0053,25_26한국관광100선:1.0;5월_가족여행지:1.0;가볼래터:1.0;가족과밤밤곡곡:1.0;가족여행:1.0;관광지:1.0;광한루:1.0;광한루원:1.0;교과서속여행:1.0;남원가볼만한곳:1.0;남원가족여행:1.0;남원광한루원:1.0;봄밤의설렉곡곡:1.0;아이와함께:1.0;액티브시니어:1.0;야경_명소:1.0;여행구독:1.0;역사:1.0;역사유적지:1.0;연꽃_명소:1.0;연인과함께:1.0;오작교:1.0;자연좋은곳:1.0;전라권:1.0;전통누원:1.0;전통역사문화체험:1.0;전통의밤밤곡곡:1.0;추석연휴_나들이:1.0;친구와함께:1.0;한국관광100선:1.0;source_tag_야경_명소:1.0;con_like:236;con_read:29145;con_share:44;use_time=[하절기(4월~10월)] - 08시 00~21시 00 (무료개장 18시 00~21시 00) [동절기(11월~3월)] - 08시 00~20시 00 (무료개장 18시 00~20시 00);rest_date=연중무휴,2026-09-11 22:03:25,역사관광:1.0;역사유적지:1.0;night_view:1.0;tour_spot:1.0,,
대한민국 구석구석(VisitKorea) | 커플/데이트 태그,야경뷰포인트,청초호,,전연령,"강원 속초시 청호동 | 위도:38.196, 경도:128.5887",,속초시 중심에 펼쳐진 청초호는 규모가 큰 자연 석호이다. 태백산맥의 미시령 부근에서 흘러나온 청초천이 동해안에 이르러 아름다운 호수를 이룬 후 인접한 바다로 빠져나간다. 마치 강과 바다를 잇는 중간 기착지 같은 모습이다. 호수 위에는 설악산과 동해 바다를 감상하는 청초정이 세워져 있다. 해상보행교 끝에 위치해 호수 한가운데 있는 느낌이다. 청초정은 밤에 더욱 빛을 발하는데 속초에서의 야경 명소로 손꼽힌다. 청초호에 전해 내려오는 용의 전설을 담은 청룡과 황룡 조형물도 시선을 끈다. 호숫가 둘레에 조성된 산책로는 야간 조명을 갖춰 밤…,http://chungchoho.co.kr/,2026_봄나들이_명소:1.0;강원권:1.0;강원도_여행지_추천:1.0;걷기길:1.0;관광지:1.0;데이트코스:1.0;벚꽃명소추천:1.0;봄여행지:1.0;산책하기좋은:1.0;산책하기좋은곳:1.0;야경_명소:1.0;자연:1.0;자연풍경:1.0;청초호호수공원:1.0;취향따라_바다여행:1.0;튤립명소:1.0;호수:1.0;source_tag_야경_명소:1.0;con_like:22;con_read:6872;con_share:12;use_time=상시 개방;rest_date=연중무휴,2026-09-11 22:03:25,자연관광:1.0;자연경관(하천‧해양):1.0;night_view:1.0;tour_spot:1.0,,
