region,date,min_temp,max_temp,status,dust,updated_at
서울,2026-09-21,15.7,28.0,대체로 맑음,좋음,2026-09-21 22:20:56
서울,2026-09-22,16.9,27.3,대체로 맑음,-,2026-09-21 22:20:56
서울,2026-09-23,17.2,26.7,대체로 맑음,-,2026-09-21 22:20:56
서울,2026-09-24,17.1,27.1,흐림,-,2026-09-21 22:20:56
서울,2026-09-25,19.3,26.9,가벼운 이슬비,-,2026-09-21 22:20:56
서울,2026-09-26,17.6,28.4,흐림,-,2026-09-21 22:20:56
서울,2026-09-27,20.1,29.9,흐림,-,2026-09-21 22:20:56
인천,2026-09-21,15.2,27.4,대체로 맑음,좋음,2026-09-21 22:20:59
인천,2026-09-22,15.1,26.3,대체로 맑음,-,2026-09-21 22:20:59
인천,2026-09-23,16.4,24.6,대체로 맑음,-,2026-09-21 22:20:59
인천,2026-09-24,17.0,26.5,흐림,-,2026-09-21 22:20:59
인천,2026-09-25,18.3,26.9,보통 이슬비,-,2026-09-21 22:20:59
인천,2026-09-26,17.2,27.4,흐림,-,2026-09-21 22:20:59
인천,2026-09-27,19.9,28.3,흐림,-,2026-09-21 22:20:59
대전,2026-09-21,14.3,27.1,대체로 맑음,좋음,2026-09-21 22:21:01
대전,2026-09-22,15.3,26.1,대체로 맑음,-,2026-09-21 22:21:01
대전,2026-09-23,15.6,26.1,대체로 맑음,-,2026-09-21 22:21:01
대전,2026-09-24,16.3,26.5,흐림,-,2026-09-21 22:21:01
대전,2026-09-25,18.6,24.4,보통 이슬비,-,2026-09-21 22:21:01
대전,2026-09-26,17.0,26.9,흐림,-,2026-09-21 22:21:01
대전,2026-09-27,18.4,28.6,보통 이슬비,-,2026-09-21 22:21:01
대구,2026-09-21,16.3,27.3,대체로 맑음,좋음,2026-09-21 22:21:04
대구,2026-09-22,17.6,25.6,대체로 맑음,-,2026-09-21 22:21:04
대구,2026-09-23,16.3,26.1,구름조금,-,2026-09-21 22:21:04
대구,2026-09-24,17.1,30.1,흐림,-,2026-09-21 22:21:04
대구,2026-09-25,19.0,26.0,보통 이슬비,-,2026-09-21 22:21:04
대구,2026-09-26,17.7,27.1,흐림,-,2026-09-21 22:21:04
대구,2026-09-27,19.2,29.3,알수없음,-,2026-09-21 22:21:04
광주,2026-09-21,16.6,28.6,맑음,좋음,2026-09-21 22:21:07
광주,2026-09-22,17.7,27.5,구름조금,-,2026-09-21 22:21:07
광주,2026-09-23,16.7,27.0,구름조금,-,2026-09-21 22:21:07
광주,2026-09-24,16.6,28.8,흐림,-,2026-09-21 22:21:07
광주,2026-09-25,19.7,25.7,강한 이슬비,-,2026-09-21 22:21:07
광주,2026-09-26,17.6,26.6,흐림,-,2026-09-21 22:21:07
광주,2026-09-27,19.2,26.5,알수없음,-,2026-09-21 22:21:07
부산,2026-09-21,18.8,26.2,대체로 맑음,좋음,2026-09-21 22:21:09
부산,2026-09-22,19.8,25.6,대체로 맑음,-,2026-09-21 22:21:09
부산,2026-09-23,18.9,25.7,구름조금,-,2026-09-21 22:21:09
